epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.2821,1.618,2.2699,1.21937,0.80579,0.56944,0.6961,0.4346,1.31653,2.34371,1.12392,0.000647619,0.000647619,0.000647619
2,202.753,1.59425,1.58664,1.20797,0.75792,0.69577,0.74772,0.38193,1.45552,2.50446,1.2869,0.00128826,0.00128826,0.00128826
3,315.151,1.6124,1.44928,1.20817,0.69874,0.69444,0.75321,0.38618,1.64787,1.39941,1.54717,0.00190251,0.00190251,0.00190251
4,420.372,1.6705,1.53736,1.25402,0.55882,0.69444,0.61582,0.31238,1.60365,4.67834,1.51113,0.0018812,0.0018812,0.0018812
5,526.505,1.67862,1.44836,1.28771,0.35275,0.43906,0.29716,0.16006,1.73193,4.18266,1.53883,0.0018416,0.0018416,0.0018416
6,632.812,1.58383,1.45769,1.25897,0.60659,0.58333,0.63632,0.35118,1.61295,1.93443,1.4421,0.001802,0.001802,0.001802
7,737.681,1.55335,1.32216,1.23746,0.6549,0.65897,0.69255,0.37721,1.58352,1.54302,1.46376,0.0017624,0.0017624,0.0017624
8,842.277,1.53693,1.25154,1.24335,0.67629,0.72222,0.75034,0.41307,1.62562,1.45744,1.52077,0.0017228,0.0017228,0.0017228
9,947.565,1.49689,1.22611,1.21662,0.65147,0.56944,0.68813,0.36458,1.58027,1.51866,1.44247,0.0016832,0.0016832,0.0016832
10,1052.77,1.50588,1.18829,1.21559,0.83158,0.73611,0.85554,0.48785,1.55146,1.25355,1.46329,0.0016436,0.0016436,0.0016436
11,1157.78,1.51708,1.17157,1.20178,0.89464,0.70758,0.83394,0.47576,1.56592,1.09044,1.42406,0.001604,0.001604,0.001604
